ID,name,price,stock,criticalStock,category_code,supplier_ID
11111111-1111-1111-1111-111111111111,Yamaha R15 V4 Engine Assembly,45000,8,3,EG,11111111-1111-1111-1111-111111111111
22222222-2222-2222-2222-222222222222,Yamaha MT-15 Piston Kit,3500,2,5,EG,11111111-1111-1111-1111-111111111111
33333333-3333-3333-3333-333333333333,Yamaha FZ-S Crankshaft,8000,0,3,EG,11111111-1111-1111-1111-111111111111
44444444-4444-4444-4444-444444444444,Yamaha R15 Front Fork Assembly,6500,12,5,SU,55555555-5555-5555-5555-555555555555
55555555-5555-5555-5555-555555555555,Yamaha MT-15 Rear Shock Absorber,4200,3,5,SU,55555555-5555-5555-5555-555555555555
66666666-6666-6666-6666-666666666666,Yamaha FZ-S Swing Arm,5500,0,3,SU,55555555-5555-5555-5555-555555555555
77777777-7777-7777-7777-777777777777,Yamaha R15 V4 Headlight Assembly,3200,15,5,EL,22222222-2222-2222-2222-222222222222
88888888-8888-8888-8888-888888888888,Yamaha MT-15 ECU,12000,4,5,EL,33333333-3333-3333-3333-333333333333
99999999-9999-9999-9999-999999999999,Yamaha FZ-S Speedometer,2800,2,5,EL,22222222-2222-2222-2222-222222222222
12111111-1111-1111-1111-111111111111,Yamaha R15 ABS Module,15000,6,3,BR,33333333-3333-3333-3333-333333333333
13111111-1111-1111-1111-111111111111,Yamaha MT-15 Brake Disc Front,2200,10,5,BR,44444444-4444-4444-4444-444444444444
14111111-1111-1111-1111-111111111111,Yamaha FZ-S Brake Caliper,3800,2,3,BR,44444444-4444-4444-4444-444444444444
15111111-1111-1111-1111-111111111111,Yamaha R15 V4 Fairing Set,18000,5,3,BT,11111111-1111-1111-1111-111111111111
16111111-1111-1111-1111-111111111111,Yamaha MT-15 Fuel Tank,9500,0,3,BT,11111111-1111-1111-1111-111111111111
17111111-1111-1111-1111-111111111111,Yamaha FZ-S Side Panel Set,4500,20,5,BT,11111111-1111-1111-1111-111111111111
18111111-1111-1111-1111-111111111111,Yamaha Genuine Helmet,2500,25,10,AC,11111111-1111-1111-1111-111111111111
19111111-1111-1111-1111-111111111111,Yamaha Riding Jacket,3500,8,5,AC,11111111-1111-1111-1111-111111111111
21111111-1111-1111-1111-111111111111,Yamaha Yamalube 10W40 1L,450,4,10,LU,66666666-6666-6666-6666-666666666666
22111111-1111-1111-1111-111111111111,Yamaha Yamalube Fork Oil,350,30,10,LU,66666666-6666-6666-6666-666666666666
23111111-1111-1111-1111-111111111111,Yamaha MT-15 Exhaust Pipe,7500,1,3,EG,11111111-1111-1111-1111-111111111111
